Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Power Source.1,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID,doc_date
1,405,Henri,"Lenovo ThinkSystem SR670 V2, Intel Xeon Platinum 8362 2800Mhz (32C), NVIDIA H100 80GB PCIe, Infiniband HDR",Flatiron Institute,Lenovo,United States,2022,Research,5920,5280.0,2038.0,5417.34,31.31,Optimized,65.09102523,Optimized,1.0,2038.0,31.31,-9999.0,Cluster,Intel Xeon Platinum 8362 32C 2.8GHz,Intel Ice Lake,2800,Linux,Linux,NVIDIA H100 80GB PCIe,32,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SR670 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,50943,180087,2022-11-03
2,32,Frontier TDS,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,120832,112640.0,19200.0,23105.54,308.68,Optimized,62.68364349,Optimized,3.0,19200.0,306.3,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48553,180053,2022-11-03
3,11,Adastra,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),HPE,France,2022,Academic,319072,297440.0,46100.0,61607.94,921.48,Optimized,58.0211675,Optimized,1.0,45940.0,791.78,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50203,180051,2022-11-03
4,15,Setonix – GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11","Pawsey Supercomputing Centre, Kensington, Western Australia",HPE,Australia,2022,Research,181248,168960.0,27160.0,34996.22,476.63,Submitted,56.98340432,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Oceania,50488,180123,2022-11-03
5,68,Dardel GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",KTH - Royal Institute of Technology,HPE,Sweden,2022,Academic,52864,49280.0,8259.0,10207.23,146.2,Submitted,56.49110807,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,48188,180126,2022-11-03
6,1,Frontier,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,8730112,8138240.0,1102000.0,1685651.46,21100.0,Submitted,52.22748815,-9999,3.0,-9999.0,-9999.0,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48553,180047,2022-11-03
7,3,LUMI,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",EuroHPC/CSC,HPE,Finland,2022,Research,2220288,2069760.0,309100.0,428703.74,6015.77,Submitted,51.38161865,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50908,180048,2022-11-03
8,159,ATOS THX.A.B,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Quad-rail NVIDIA HDR100 Infiniband",Atos,Atos,France,2022,Vendor,25056,23328.0,3505.0,4982.17,86.06,Optimized,41.41068053,Optimized,1.0,3505.0,84.64,-9999.0,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,NVIDIA A100 SXM4 40 GB,32,Xeon® Platinum 83xx (Ice Lake),BullSequana XH2000,BullSequana,Infiniband,Quad-rail NVIDIA HDR100 Infiniband,Europe,50630,180070,2022-11-03
9,359,MN-3,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",Preferred Networks,Preferred Networks,Japan,2020,Industry,1664,128.0,2179.6,3347.58,53.29,Submitted,40.90073184,-9999,3.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,2400,Ubuntu,Linux,Preferred Networks MN-Core,24,Xeon Platinum 82xx (Cascade Lake),MN-Core Server,Preferred Networks Cluster,Custom Interconnect,MN-Core DirectConnect,Asia,50832,179806,2022-11-03
10,331,Champollion,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Hewlett Packard Enterprise,HPE,France,2022,Vendor,19840,17280.0,2321.0,2522.272,60.2,Submitted,38.55481728,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Milan,Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,50928,180073,2022-11-03
